loss,accuracy,val_loss,val_accuracy,lr
0.8845133185386658,0.6325249075889587,1.0277457237243652,0.5888985395431519,1e-04
0.7009277939796448,0.6946730017662048,1.0032826662063599,0.4874241054058075,1e-04
0.6156985759735107,0.7453442811965942,0.6975817084312439,0.7111881971359253,1e-04
0.5641919374465942,0.7711130380630493,0.6732375621795654,0.7042497992515564,1e-04
0.5264735817909241,0.7858380079269409,0.5769152045249939,0.7363399863243103,1e-04
0.4944795072078705,0.8018622994422913,0.6121143102645874,0.73113614320755,1e-04
0.46681469678878784,0.8163707256317139,0.6197185516357422,0.7458803057670593,1e-04
0.44448545575141907,0.8226504921913147,0.5939270853996277,0.7450129985809326,1e-04
0.4220344126224518,0.8388912677764893,0.7289727330207825,0.6548135280609131,1e-04
0.39663049578666687,0.8471199870109558,0.6800980567932129,0.7198612093925476,1e-04
0.38400253653526306,0.8546990156173706,0.6879322528839111,0.6799653172492981,1e-04
0.3704255223274231,0.8618449568748474,0.6129496693611145,0.737207293510437,1e-04
0.3420546352863312,0.8720225095748901,0.649632453918457,0.7129228115081787,3.1622774e-05
0.32795196771621704,0.878302276134491,0.6302961111068726,0.7241977453231812,3.1622774e-05
0.32399916648864746,0.8806842565536499,0.6841630339622498,0.7077189683914185,3.1622774e-05
0.3189484179019928,0.8847985863685608,0.6733843684196472,0.7068517208099365,3.1622774e-05
0.31558287143707275,0.8824166059494019,0.6682737469673157,0.7094535827636719,3.1622774e-05
0.30046597123146057,0.8908618688583374,0.7039612531661987,0.7042497992515564,9.999999e-06
0.30293741822242737,0.8884798884391785,0.7116930484771729,0.6990459561347961,9.999999e-06
0.28580063581466675,0.8969250917434692,0.7198290824890137,0.6955767273902893,9.999999e-06
0.289838582277298,0.8951927423477173,0.7187190055847168,0.6973113417625427,9.999999e-06
0.2904339134693146,0.8928107619285583,0.7104474902153015,0.6877710223197937,9.999999e-06
0.2933567762374878,0.8908618688583374,0.7267695069313049,0.686903715133667,3.1622774e-06
0.2932180166244507,0.8915114998817444,0.7108529210090637,0.6921075582504272,3.1622774e-06
0.29169777035713196,0.8947596549987793,0.6817368865013123,0.7033824920654297,3.1622774e-06
0.29366201162338257,0.8934603929519653,0.7020471692085266,0.7051171064376831,3.1622774e-06
0.28692781925201416,0.8943265676498413,0.6977192163467407,0.702515184879303,3.1622774e-06
